id_user,fecha_ing,n_pedidos
1,2022-01-01,17
2,2022-01-01,101
3,2022-01-01,12
4,2022-01-01,93
5,2022-01-01,79
6,2022-01-01,17
7,2022-01-01,34
8,2022-01-01,54
9,2022-01-01,39
10,2022-01-01,9
11,2022-01-01,114
12,2022-01-01,112
13,2022-01-01,13
14,2022-01-01,85
15,2022-01-01,51
16,2022-01-01,96
17,2022-01-01,100
18,2022-01-01,89
19,2022-01-01,48
20,2022-01-01,66
21,2022-01-01,78
22,2022-01-01,68
23,2022-01-01,12
24,2022-01-01,49
25,2022-01-01,91
26,2022-01-01,43
27,2022-01-01,58
28,2022-01-01,101
29,2022-01-01,41
30,2022-01-01,16
31,2022-01-01,27
32,2022-01-01,34
33,2022-01-01,57
34,2022-01-01,62
35,2022-01-01,108
36,2022-01-01,49
37,2022-01-01,77
38,2022-01-01,33
39,2022-01-01,24
40,2022-01-01,110
41,2022-01-01,111
42,2022-01-01,51
43,2022-01-01,51
44,2022-01-01,56
45,2022-01-01,80
46,2022-01-01,31
47,2022-01-01,2
48,2022-01-01,78
49,2022-01-01,108
50,2022-01-01,27
51,2022-01-01,47
52,2022-01-01,48
53,2022-01-01,22
54,2022-01-01,42
55,2022-01-01,78
56,2022-01-01,20
57,2022-01-01,8
58,2022-01-01,25
59,2022-01-01,30
60,2022-01-01,85
61,2022-01-01,35
62,2022-01-01,47
63,2022-01-01,21
64,2022-01-01,72
65,2022-01-01,76
66,2022-01-01,43
67,2022-01-01,110
68,2022-01-01,24
69,2022-01-01,85
70,2022-01-01,64
71,2022-01-01,19
72,2022-01-01,75
73,2022-01-01,116
74,2022-01-01,62
75,2022-01-01,94
76,2022-01-01,87
77,2022-01-01,40
78,2022-01-01,58
79,2022-01-01,65
80,2022-01-01,107
81,2022-01-01,88
82,2022-01-01,39
83,2022-01-01,119
84,2022-01-01,17
85,2022-01-01,42
86,2022-01-01,100
87,2022-01-01,37
88,2022-01-01,102
89,2022-01-01,99
90,2022-01-01,104
91,2022-01-01,10
92,2022-01-01,24
93,2022-01-01,48
94,2022-01-01,12
95,2022-01-01,59
96,2022-01-01,11
97,2022-01-01,110
98,2022-01-01,77
99,2022-01-01,54
100,2022-01-01,46
101,2022-01-01,52
102,2022-01-01,56
103,2022-01-01,67
104,2022-01-01,29
105,2022-01-01,82
106,2022-01-01,39
107,2022-01-01,44
108,2022-01-01,105
109,2022-01-01,47
110,2022-01-01,73
111,2022-01-01,48
112,2022-01-01,114
113,2022-01-01,107
114,2022-01-01,80
115,2022-01-01,85
116,2022-01-01,11
117,2022-01-01,60
118,2022-01-01,99
119,2022-01-01,71
120,2022-01-01,14
121,2022-01-01,103
122,2022-01-01,18
123,2022-01-01,32
124,2022-01-01,64
125,2022-01-01,72
126,2022-01-01,52
127,2022-01-01,105
128,2022-01-01,63
129,2022-01-01,39
130,2022-01-01,94
131,2022-01-01,33
132,2022-01-01,111
133,2022-01-01,10
134,2022-01-01,3
135,2022-01-01,48
136,2022-01-01,95
137,2022-01-01,111
138,2022-01-01,49
139,2022-01-01,60
140,2022-01-01,19
141,2022-01-01,4
142,2022-01-01,14
143,2022-01-01,105
144,2022-01-01,84
145,2022-01-01,39
146,2022-01-01,34
147,2022-01-01,99
148,2022-01-01,11
149,2022-01-01,47
150,2022-01-01,110
151,2022-01-01,28
152,2022-01-01,21
153,2022-01-01,81
154,2022-01-01,85
155,2022-01-01,73
156,2022-01-01,105
157,2022-01-01,22
158,2022-01-01,56
159,2022-01-01,34
160,2022-01-01,45
161,2022-01-01,96
162,2022-01-02,44
163,2022-01-02,111
164,2022-01-02,82
165,2022-01-02,97
166,2022-01-02,30
167,2022-01-02,59
168,2022-01-02,42
169,2022-01-02,7
170,2022-01-02,94
171,2022-01-02,117
172,2022-01-02,99
173,2022-01-02,23
174,2022-01-02,64
175,2022-01-02,66
176,2022-01-02,92
177,2022-01-02,90
178,2022-01-02,32
